Year,Date,Block,Paddock,Plot,Location,Weight (g),QC,QC,GrazingTrt2019,GrazingTrt2020,GrazingTrt2021,g/m2,kg/ha,CLIPPED AREA,,Moderate,Heavy
2019,7/9/2019,1,2,1,1,9.33,9.33,TRUE,H,,,186.6,1866,10x50cm,,1177.444444,749.5555556
2019,7/9/2019,1,2,2,2,3.71,3.71,TRUE,H,,,74.2,742,10x50cm,,687.7922185,419.8113627
2019,7/9/2019,1,2,3,3,4.42,4.42,TRUE,H,,,88.4,884,10x50cm,,,
2019,7/26/2019,2,2,1,1,2.66,2.66,TRUE,H,,,53.2,532,10x50cm,,Goal,Actual
2019,7/26/2019,2,2,2,2,2.5,2.5,TRUE,H,,,50,500,10x50cm,,60%,64%
2019,7/26/2019,2,2,3,3,2.15,2.15,TRUE,H,,,43,430,10x50cm,,,
2019,7/26/2019,3,2,1,1,2.17,2.17,TRUE,H,,,43.4,434,10x50cm,,,
2019,7/26/2019,3,2,2,2,3.33,3.33,TRUE,H,,,66.6,666,10x50cm,,,
2019,7/26/2019,3,2,3,3,3.46,3.46,TRUE,H,,,69.2,692,10x50cm,,,
2019,7/9/2019,1,1,1,1,5.62,5.62,TRUE,M,,,112.4,1124,10x50cm,,,
2019,7/9/2019,1,1,2,2,9.6,9.6,TRUE,M,,,192,1920,10x50cm,,,
2019,7/9/2019,1,1,3,3,5.77,5.77,TRUE,M,,,115.4,1154,10x50cm,,,
2019,7/9/2019,1,3,1,1,3.71,3.71,TRUE,M,,,74.2,742,10x50cm,,,
2019,7/9/2019,1,3,2,2,17.56,17.56,TRUE,M,,,351.2,3512,10x50cm,,,
2019,7/9/2019,1,3,3,3,4.7,4.7,TRUE,M,,,94,940,10x50cm,,,
2019,7/26/2019,2,1,1,1,6.71,6.71,TRUE,M,,,134.2,1342,10x50cm,,,
2019,7/26/2019,2,1,2,2,4.52,4.52,TRUE,M,,,90.4,904,10x50cm,,,
2019,7/26/2019,2,1,3,3,4.65,4.65,TRUE,M,,,93,930,10x50cm,,,
2019,7/26/2019,2,3,1,1,3.46,3.46,TRUE,M,,,69.2,692,10x50cm,,,
2019,7/26/2019,2,3,2,2,2.86,2.86,TRUE,M,,,57.2,572,10x50cm,,,
2019,7/26/2019,2,3,3,3,4.25,4.25,TRUE,M,,,85,850,10x50cm,,,
2019,7/26/2019,3,1,1,1,5.15,5.15,TRUE,M,,,103,1030,10x50cm,,,
2019,7/26/2019,3,1,2,2,5.86,5.86,TRUE,M,,,117.2,1172,10x50cm,Block,Moderate,Heavy
2019,7/26/2019,3,1,3,3,4.39,4.39,TRUE,M,,,87.8,878,10x50cm,Block 1,7.826666667,5.82
2019,7/26/2019,3,3,1,1,10.12,10.12,TRUE,M,,,202.4,2024,10x50cm,Block 2,4.408333333,2.436666667
2019,7/26/2019,3,3,2,2,2.32,2.32,TRUE,M,,,46.4,464,10x50cm,Block 3,5.426666667,2.986666667
2019,7/26/2019,3,3,3,3,4.72,4.72,TRUE,M,,,94.4,944,10x50cm,,,
2020,7/21/2020,1,2,1,1NE,2.46,weight pasted from bag wts tab,FALSE,,H,M,24.6,246,20x50cm,,,
2020,7/21/2020,1,2,2,2NE,2.31,weight pasted from bag wts tab,FALSE,,H,M,23.1,231,20x50cm,,,
2020,7/21/2020,1,2,3,3NE,4.3,weight pasted from bag wts tab,FALSE,,H,M,43,430,20x50cm,,,
2020,7/21/2020,1,2,4,4NE,3.78,weight pasted from bag wts tab,FALSE,,H,M,37.8,378,20x50cm,,,
2020,7/21/2020,1,2,5,5NE,2.24,weight pasted from bag wts tab,FALSE,,H,M,22.4,224,20x50cm, ,,
2020,7/21/2020,1,2,6,6NE,6.06,weight pasted from bag wts tab,FALSE,,H,M,60.6,606,20x50cm,,,
2020,7/21/2020,1,3,7,7NE,4.71,weight pasted from bag wts tab,FALSE,,L,L,47.1,471,20x50cm,,,
2020,7/21/2020,1,3,8,8NE,2.41,weight pasted from bag wts tab,FALSE,,L,L,24.1,241,20x50cm,,,
2020,7/21/2020,1,3,9,9NE,5.08,weight pasted from bag wts tab,FALSE,,L,L,50.8,508,20x50cm,,,
2020,7/21/2020,1,3,10,10NE,3.19,weight pasted from bag wts tab,FALSE,,L,L,31.9,319,20x50cm,,,
2020,7/21/2020,1,3,11,11NE,2.33,weight pasted from bag wts tab,FALSE,,L,L,23.3,233,20x50cm,,,
2020,7/21/2020,1,3,12,12NE,2.59,weight pasted from bag wts tab,FALSE,,L,L,25.9,259,20x50cm,,,
2020,7/21/2020,1,1,13,13NE,2.86,weight pasted from bag wts tab,FALSE,,M,M,28.6,286,20x50cm,,,
2020,7/21/2020,1,1,14,14NE,1.95,weight pasted from bag wts tab,FALSE,,M,M,19.5,195,20x50cm,,,
2020,7/21/2020,1,1,15,15NE,2.89,weight pasted from bag wts tab,FALSE,,M,M,28.9,289,20x50cm,,,
2020,7/21/2020,1,1,16,16NE,1.52,weight pasted from bag wts tab,FALSE,,M,M,15.2,152,20x50cm,,,
2020,7/21/2020,1,1,17,17NE,2.8,weight pasted from bag wts tab,FALSE,,M,M,28,280,20x50cm,,,
2020,7/23/2020,1,1,18,18NE,2.3,weight pasted from bag wts tab,FALSE,,M,M,23,230,20x50cm,,,
2020,7/23/2020,2,2,19,19NE,1.65,weight pasted from bag wts tab,FALSE,,H,M,16.5,165,20x50cm,,,
2020,7/23/2020,2,2,20,20NE,5.15,weight pasted from bag wts tab,FALSE,,H,M,51.5,515,20x50cm,,,
2020,7/23/2020,2,2,21,21NE,3.75,weight pasted from bag wts tab,FALSE,,H,M,37.5,375,20x50cm,,,
2020,7/23/2020,2,2,22,22NE,3.02,weight pasted from bag wts tab,FALSE,,H,M,30.2,302,20x50cm,,,
2020,7/23/2020,2,2,23,23NE,1.8,weight pasted from bag wts tab,FALSE,,H,M,18,180,20x50cm,,,
2020,7/23/2020,2,2,24,24NE,1.26,weight pasted from bag wts tab,FALSE,,H,M,12.6,126,20x50cm,,,
2020,7/23/2020,2,1,25,25NE,3.17,weight pasted from bag wts tab,FALSE,,M,M,31.7,317,20x50cm,,,
2020,7/23/2020,2,1,26,26NE,2.67,weight pasted from bag wts tab,FALSE,,M,M,26.7,267,20x50cm,,,
2020,7/23/2020,2,1,27,27NE,2.58,weight pasted from bag wts tab,FALSE,,M,M,25.8,258,20x50cm,,,
2020,7/23/2020,2,1,28,28NE,4.13,weight pasted from bag wts tab,FALSE,,M,M,41.3,413,20x50cm,,,
2020,7/23/2020,2,1,29,29NE,1.6,weight pasted from bag wts tab,FALSE,,M,M,16,160,20x50cm,,,
2020,7/23/2020,2,1,30,30NE,3.48,weight pasted from bag wts tab,FALSE,,M,M,34.8,348,20x50cm,,,
2020,7/23/2020,2,3,31,31NE,3.17,weight pasted from bag wts tab,FALSE,,L,L,31.7,317,20x50cm,,,
2020,7/23/2020,2,3,32,32NE,2.93,weight pasted from bag wts tab,FALSE,,L,L,29.3,293,20x50cm,,,
2020,7/23/2020,2,3,33,33NE,6.51,weight pasted from bag wts tab,FALSE,,L,L,65.1,651,20x50cm,,,
2020,7/23/2020,2,3,34,34NE,1.48,weight pasted from bag wts tab,FALSE,,L,L,14.8,148,20x50cm,,,
2020,7/23/2020,2,3,35,35NE,2.74,weight pasted from bag wts tab,FALSE,,L,L,27.4,274,20x50cm,,,
2020,7/23/2020,2,3,36,36NE,0.25,weight pasted from bag wts tab,FALSE,,L,L,2.5,25,20x50cm,,,
2020,7/27/2020,3,3,37,37NE,3.06,weight pasted from bag wts tab,FALSE,,L,L,30.6,306,20x50cm,,,
2020,7/27/2020,3,3,38,38NE,3.61,weight pasted from bag wts tab,FALSE,,L,L,36.1,361,20x50cm,,,
2020,7/27/2020,3,3,39,39NE,3.55,weight pasted from bag wts tab,FALSE,,L,L,35.5,355,20x50cm,,,
2020,7/27/2020,3,3,40,40NE,8.16,weight pasted from bag wts tab,FALSE,,L,L,81.6,816,20x50cm,,,
2020,7/27/2020,3,3,41,41NE,8.23,weight pasted from bag wts tab,FALSE,,L,L,82.3,823,20x50cm,,,
2020,7/27/2020,3,3,42,42NE,6.47,weight pasted from bag wts tab,FALSE,,L,L,64.7,647,20x50cm,,,
2020,7/27/2020,3,2,43,43NE,4.76,weight pasted from bag wts tab,FALSE,,H,M,47.6,476,20x50cm,,,
2020,7/27/2020,3,2,44,44NE,4.98,weight pasted from bag wts tab,FALSE,,H,M,49.8,498,20x50cm,,,
2020,7/27/2020,3,2,45,45NE,4.37,weight pasted from bag wts tab,FALSE,,H,M,43.7,437,20x50cm,,,
2020,7/27/2020,3,2,46,46NE,2.8,weight pasted from bag wts tab,FALSE,,H,M,28,280,20x50cm,,,
2020,7/27/2020,3,2,47,47NE,2.25,weight pasted from bag wts tab,FALSE,,H,M,22.5,225,20x50cm,,,
2020,7/27/2020,3,2,48,48NE,2.3,weight pasted from bag wts tab,FALSE,,H,M,23,230,20x50cm,,,
2020,7/27/2020,3,1,49,49NE,4.49,weight pasted from bag wts tab,FALSE,,M,M,44.9,449,20x50cm,,,
2020,7/27/2020,3,1,50,50NE,3.1,weight pasted from bag wts tab,FALSE,,M,M,31,310,20x50cm,,,
2020,7/27/2020,3,1,51,51NE,2.94,weight pasted from bag wts tab,FALSE,,M,M,29.4,294,20x50cm,,,
2020,7/27/2020,3,1,52,52NE,10.92,weight pasted from bag wts tab,FALSE,,M,M,109.2,1092,20x50cm,,,
2020,7/27/2020,3,1,53,53NE,8.58,weight pasted from bag wts tab,FALSE,,M,M,85.8,858,20x50cm,,,
2020,7/27/2020,3,1,54,54NE,3.05,weight pasted from bag wts tab,FALSE,,M,M,30.5,305,20x50cm,,,
2021,7/27/2021,1,2,1,1NE,2.75,weight pasted from bag wts tab,FALSE,,H,M,27.5,275,20x50cm,,,
2021,7/27/2021,1,2,2,2NE,5.16,weight pasted from bag wts tab,FALSE,,H,M,51.6,516,20x50cm,,,
2021,7/27/2021,1,2,3,3NE,4.97,weight pasted from bag wts tab,FALSE,,H,M,49.7,497,20x50cm,,,
2021,7/27/2021,1,2,4,4NE,12.71,weight pasted from bag wts tab,FALSE,,H,M,127.1,1271,20x50cm,,,
2021,7/27/2021,1,2,5,5NE,13.02,weight pasted from bag wts tab,FALSE,,H,M,130.2,1302,20x50cm,,,
2021,7/27/2021,1,2,6,6NE,8.47,weight pasted from bag wts tab,FALSE,,H,M,84.7,847,20x50cm,,,
2021,7/27/2021,1,3,7,7NE,4.21,weight pasted from bag wts tab,FALSE,,L,L,42.1,421,20x50cm,,,
2021,7/27/2021,1,3,8,8NE,5.26,weight pasted from bag wts tab,FALSE,,L,L,52.6,526,20x50cm,,,
2021,7/27/2021,1,3,9,9NE,5.76,weight pasted from bag wts tab,FALSE,,L,L,57.6,576,20x50cm,,,
2021,7/27/2021,1,3,10,10NE,6.44,weight pasted from bag wts tab,FALSE,,L,L,64.4,644,20x50cm,,,
2021,7/27/2021,1,3,11,11NE,4.39,weight pasted from bag wts tab,FALSE,,L,L,43.9,439,20x50cm,,,
2021,7/27/2021,1,3,12,12NE,4,weight pasted from bag wts tab,FALSE,,L,L,40,400,20x50cm,,,
2021,7/27/2021,1,1,13,13NE,6.87,weight pasted from bag wts tab,FALSE,,M,M,68.7,687,20x50cm,,,
2021,7/27/2021,1,1,14,14NE,4.45,weight pasted from bag wts tab,FALSE,,M,M,44.5,445,20x50cm,,,
2021,7/27/2021,1,1,15,15NE,5.57,weight pasted from bag wts tab,FALSE,,M,M,55.7,557,20x50cm,,,
2021,7/27/2021,1,1,16,16NE,4.21,weight pasted from bag wts tab,FALSE,,M,M,42.1,421,20x50cm,,,
2021,7/27/2021,1,1,17,17NE,3.63,weight pasted from bag wts tab,FALSE,,M,M,36.3,363,20x50cm,,,
2021,7/27/2021,1,1,18,18NE,4.05,weight pasted from bag wts tab,FALSE,,M,M,40.5,405,20x50cm,,,
2021,7/27/2021,2,2,19,19NE,2.63,weight pasted from bag wts tab,FALSE,,H,M,26.3,263,20x50cm,,,
2021,7/27/2021,2,2,20,20NE,4.27,weight pasted from bag wts tab,FALSE,,H,M,42.7,427,20x50cm,,,
2021,7/27/2021,2,2,21,21NE,4.01,weight pasted from bag wts tab,FALSE,,H,M,40.1,401,20x50cm,,,
2021,7/27/2021,2,2,22,22NE,6.46,weight pasted from bag wts tab,FALSE,,H,M,64.6,646,20x50cm,,,
2021,7/27/2021,2,2,23,23NE,3.18,weight pasted from bag wts tab,FALSE,,H,M,31.8,318,20x50cm,,,
2021,7/27/2021,2,2,24,24NE,3.41,weight pasted from bag wts tab,FALSE,,H,M,34.1,341,20x50cm,,,
2021,7/27/2021,2,1,25,25NE,3.74,weight pasted from bag wts tab,FALSE,,M,M,37.4,374,20x50cm,,,
2021,7/27/2021,2,1,26,26NE,3.28,weight pasted from bag wts tab,FALSE,,M,M,32.8,328,20x50cm,,,
2021,7/27/2021,2,1,27,27NE,4.01,weight pasted from bag wts tab,FALSE,,M,M,40.1,401,20x50cm,,,
2021,7/27/2021,2,1,28,28NE,2.53,weight pasted from bag wts tab,FALSE,,M,M,25.3,253,20x50cm,,,
2021,7/27/2021,2,1,29,29NE,6.97,weight pasted from bag wts tab,FALSE,,M,M,69.7,697,20x50cm,,,
2021,7/27/2021,2,1,30,30NE,3.86,weight pasted from bag wts tab,FALSE,,M,M,38.6,386,20x50cm,,,
2021,7/27/2021,2,3,31,31NE,4.53,weight pasted from bag wts tab,FALSE,,L,L,45.3,453,20x50cm,,,
2021,7/27/2021,2,3,32,32NE,2.9,weight pasted from bag wts tab,FALSE,,L,L,29,290,20x50cm,,,
2021,7/27/2021,2,3,33,33NE,4.36,weight pasted from bag wts tab,FALSE,,L,L,43.6,436,20x50cm,,,
2021,7/27/2021,2,3,34,34NE,3.18,weight pasted from bag wts tab,FALSE,,L,L,31.8,318,20x50cm,,,
2021,7/27/2021,2,3,35,35NE,6.09,weight pasted from bag wts tab,FALSE,,L,L,60.9,609,20x50cm,,,
2021,7/27/2021,2,3,36,36NE,5.05,weight pasted from bag wts tab,FALSE,,L,L,50.5,505,20x50cm,,,
2021,7/27/2021,3,3,37,37NE,5.64,weight pasted from bag wts tab,FALSE,,L,L,56.4,564,20x50cm,,,
2021,7/27/2021,3,3,38,38NE,6.15,weight pasted from bag wts tab,FALSE,,L,L,61.5,615,20x50cm,,,
2021,7/27/2021,3,3,39,39NE,6.86,weight pasted from bag wts tab,FALSE,,L,L,68.6,686,20x50cm,,,
2021,7/27/2021,3,3,40,40NE,7.2,weight pasted from bag wts tab,FALSE,,L,L,72,720,20x50cm,,,
2021,7/27/2021,3,3,41,41NE,5.24,weight pasted from bag wts tab,FALSE,,L,L,52.4,524,20x50cm,,,
2021,7/27/2021,3,3,42,42NE,7.7,weight pasted from bag wts tab,FALSE,,L,L,77,770,20x50cm,,,
2021,7/27/2021,3,2,43,43NE,7.99,weight pasted from bag wts tab,FALSE,,H,M,79.9,799,20x50cm,,,
2021,7/27/2021,3,2,44,44NE,4.61,weight pasted from bag wts tab,FALSE,,H,M,46.1,461,20x50cm,,,
2021,7/27/2021,3,2,45,45NE,4.43,weight pasted from bag wts tab,FALSE,,H,M,44.3,443,20x50cm,,,
2021,7/27/2021,3,2,46,46NE,5.76,weight pasted from bag wts tab,FALSE,,H,M,57.6,576,20x50cm,,,
2021,7/27/2021,3,2,47,47NE,5.05,weight pasted from bag wts tab,FALSE,,H,M,50.5,505,20x50cm,,,
2021,7/27/2021,3,2,48,48NE,3.11,weight pasted from bag wts tab,FALSE,,H,M,31.1,311,20x50cm,,,
2021,7/27/2021,3,1,49,49NE,6.23,weight pasted from bag wts tab,FALSE,,M,M,62.3,623,20x50cm,,,
2021,7/27/2021,3,1,50,50NE,2.86,weight pasted from bag wts tab,FALSE,,M,M,28.6,286,20x50cm,,,
2021,7/27/2021,3,1,51,51NE,6.67,weight pasted from bag wts tab,FALSE,,M,M,66.7,667,20x50cm,,,
2021,7/27/2021,3,1,52,52NE,3.55,weight pasted from bag wts tab,FALSE,,M,M,35.5,355,20x50cm,,,
2021,7/27/2021,3,1,53,53NE,6.89,weight pasted from bag wts tab,FALSE,,M,M,68.9,689,20x50cm,,,
2021,7/27/2021,3,1,54,54NE,5.54,weight pasted from bag wts tab,FALSE,,M,M,55.4,554,20x50cm,,,
