Site,Disturbance,Exclosure,Date,Date_cln,Year,High_cm,Low_cm,Area (m^2),Total Weight (g),Total Weight (g/m^2),vor_reading_pct
lake creek,control,livestock ex,2018-07-03,2018-07-03,2018,37.891891891891895,7.135135135135135,0.10000000000000002,21.416666666666668,214.16666666666666,1.0
lake creek,control,livestock ex,2019-07-01,2019-07-01,2019,33.714285714285715,8.942857142857143,0.10000000000000002,18.066666666666666,180.66666666666663,1.0
lake creek,control,livestock ex,2020-07-01,2020-07-01,2020,30.61111111111111,5.972222222222222,0.10000000000000002,7.236666666666668,14.473333333333336,1.0
lake creek,control,livestock ex,2021-07-08,2021-07-08,2021,23.942857142857143,6.914285714285715,0.10000000000000002,4.673333333333333,46.73333333333333,1.0
lake creek,control,out,2018-07-03,2018-07-03,2018,28.892857142857142,7.285714285714286,0.10000000000000002,11.866666666666665,118.66666666666667,1.0
lake creek,control,out,2019-07-01,2019-07-01,2019,25.433333333333334,7.866666666666666,0.10000000000000002,14.516666666666667,145.16666666666666,1.0
lake creek,control,out,2020-07-01,2020-07-01,2020,18.724137931034484,3.7241379310344827,0.1,8.26,16.52,1.0
lake creek,control,out,2021-07-08,2021-07-08,2021,20.321428571428573,3.892857142857143,0.10000000000000002,6.516666666666667,65.16666666666667,1.0
lake creek,control,ungulate ex,2018-07-03,2018-07-03,2018,50.44736842105263,12.473684210526315,0.10000000000000002,29.66666666666667,296.6666666666667,1.0
lake creek,control,ungulate ex,2019-07-01,2019-07-01,2019,37.421052631578945,17.36842105263158,0.10000000000000002,23.083333333333332,230.83333333333337,1.0
lake creek,control,ungulate ex,2020-07-01,2020-07-01,2020,38.56410256410256,8.538461538461538,0.10000000000000002,11.416666666666666,22.833333333333332,1.0
lake creek,control,ungulate ex,2021-07-08,2021-07-08,2021,31.61111111111111,11.11111111111111,0.10000000000000002,17.096666666666668,170.9666666666666,1.0
lake creek,fire,livestock ex,2018-07-03,2018-07-03,2018,33.825,15.6,0.10000000000000002,27.75,277.5,1.0
lake creek,fire,livestock ex,2019-07-02,2019-07-01,2019,36.0,13.075,0.10000000000000002,24.066666666666666,240.6666666666666,1.0
lake creek,fire,livestock ex,2020-07-09,2020-07-01,2020,22.875,8.125,0.1,12.145,24.29,1.0
lake creek,fire,livestock ex,2021-07-06,2021-07-06,2021,18.725,7.375,0.10000000000000002,4.28,42.79999999999999,1.0
lake creek,fire,out,2018-07-03,2018-07-03,2018,24.025,7.425,0.10000000000000002,20.8,208.0,1.0
lake creek,fire,out,2019-07-02,2019-07-01,2019,24.825,9.475,0.10000000000000002,19.0,190.0,1.0
lake creek,fire,out,2020-07-07,2020-07-01,2020,16.75,4.15,0.10000000000000002,14.1,28.2,1.0
lake creek,fire,out,2021-07-06,2021-07-06,2021,14.263157894736842,3.6842105263157894,0.10000000000000002,2.3066666666666666,23.066666666666666,1.0
lake creek,fire,ungulate ex,2018-07-03,2018-07-03,2018,24.555555555555557,8.277777777777779,0.10000000000000002,22.8,228.0,1.0
lake creek,fire,ungulate ex,2019-07-02,2019-07-01,2019,33.31578947368421,11.0,0.10000000000000002,22.71666666666667,227.16666666666663,1.0
lake creek,fire,ungulate ex,2020-07-09,2020-07-01,2020,25.342105263157894,7.894736842105263,0.1,27.78,55.56,1.0
lake creek,fire,ungulate ex,2021-07-06,2021-07-06,2021,25.923076923076923,9.256410256410257,0.10000000000000002,5.29,52.9,1.0
lake creek,prairie dog,livestock ex,2018-07-03,2018-07-03,2018,33.75675675675676,9.702702702702704,0.10000000000000002,16.05,160.49999999999997,1.0
lake creek,prairie dog,livestock ex,2019-07-01,2019-07-01,2019,30.125,14.275,0.10000000000000002,23.433333333333334,234.33333333333334,1.0
lake creek,prairie dog,livestock ex,2020-07-01,2020-07-01,2020,19.032258064516128,5.161290322580645,0.10000000000000002,9.126666666666667,18.253333333333334,1.0
lake creek,prairie dog,livestock ex,2021-07-01,2021-07-01,2021,20.771428571428572,6.542857142857143,0.10000000000000002,11.143333333333333,111.43333333333332,1.0
lake creek,prairie dog,out,2018-07-04,2018-07-03,2018,25.91891891891892,6.72972972972973,0.10000000000000002,26.266666666666666,262.6666666666667,1.0
lake creek,prairie dog,out,2019-07-01,2019-07-01,2019,27.2,10.1,0.10000000000000002,19.816666666666666,198.16666666666666,1.0
lake creek,prairie dog,out,2020-06-30,2020-07-01,2020,17.512820512820515,4.153846153846154,0.10000000000000002,14.439999999999996,28.879999999999992,1.0
lake creek,prairie dog,out,2021-07-06,2021-07-06,2021,18.65,4.075,0.10000000000000002,4.71,47.1,1.0
lake creek,prairie dog,ungulate ex,2018-07-03,2018-07-03,2018,24.45,7.3,0.10000000000000002,17.75,177.5,1.0
lake creek,prairie dog,ungulate ex,2019-07-01,2019-07-01,2019,25.675,9.125,0.10000000000000002,17.833333333333332,178.33333333333334,1.0
lake creek,prairie dog,ungulate ex,2020-07-01,2020-07-01,2020,20.05,5.05,0.10000000000000002,15.440000000000001,30.880000000000003,1.0
lake creek,prairie dog,ungulate ex,2021-07-01,2021-07-01,2021,25.675,8.45,0.10000000000000002,19.59,195.89999999999998,1.0
steckley,control,livestock ex,2018-06-28,2018-06-28,2018,60.074074074074076,10.777777777777779,0.10000000000000002,18.150000000000002,181.5,1.0
steckley,control,livestock ex,2019-06-27,2019-06-26,2019,46.903225806451616,16.612903225806452,0.10000000000000002,34.48333333333333,344.8333333333333,1.0
steckley,control,livestock ex,2020-07-07,2020-07-07,2020,43.0,10.31578947368421,0.1,22.395,44.79,1.0
steckley,control,livestock ex,2021-06-28,2021-06-30,2021,32.17857142857143,8.928571428571429,0.10000000000000002,6.47,64.69999999999999,1.0
steckley,control,out,2018-06-25,2018-06-25,2018,60.310344827586206,14.413793103448276,0.1,26.25,262.5,1.0
steckley,control,out,2019-06-27,2019-06-26,2019,56.064516129032256,19.451612903225808,0.10000000000000002,24.066666666666666,240.66666666666666,1.0
steckley,control,out,2020-07-07,2020-07-07,2020,34.88,11.72,0.10000000000000002,25.873333333333335,51.74666666666667,1.0
steckley,control,out,2021-06-30,2021-06-30,2021,32.625,6.916666666666667,0.10000000000000002,4.86,48.599999999999994,1.0
steckley,control,ungulate ex,2018-06-28,2018-06-28,2018,24.444444444444443,3.185185185185185,0.10000000000000002,10.299999999999999,103.0,1.0
steckley,control,ungulate ex,2019-06-27,2019-06-26,2019,24.344827586206897,4.206896551724138,0.1,9.35,93.5,1.0
steckley,control,ungulate ex,2020-07-07,2020-07-07,2020,18.151515151515152,4.181818181818182,0.1,10.045,20.09,1.0
steckley,control,ungulate ex,2021-06-30,2021-06-30,2021,15.0,3.727272727272727,0.10000000000000003,2.3066666666666666,23.066666666666663,1.0
steckley,fire,livestock ex,2018-06-27,2018-06-27,2018,39.675,14.1,0.10000000000000002,23.53333333333333,235.33333333333334,1.0
steckley,fire,livestock ex,2019-06-27,2019-06-26,2019,38.225,15.7,0.10000000000000002,13.75,137.49999999999997,1.0
steckley,fire,out,2018-06-27,2018-06-27,2018,37.225,11.025,0.10000000000000002,32.71666666666666,327.1666666666667,1.0
steckley,fire,out,2019-06-27,2019-06-26,2019,32.375,9.275,0.10000000000000002,15.066666666666668,150.66666666666666,1.0
steckley,fire,ungulate ex,2018-06-27,2018-06-27,2018,45.8,21.2,0.10000000000000002,28.083333333333332,280.8333333333333,1.0
steckley,fire,ungulate ex,2019-06-27,2019-06-26,2019,49.975,19.625,0.10000000000000002,44.583333333333336,445.8333333333333,1.0
steckley,prairie dog,livestock ex,2018-07-04,2018-06-25,2018,50.525,17.4,0.10000000000000002,39.6,396.0,1.0
steckley,prairie dog,livestock ex,2019-06-24,2019-06-24,2019,47.45,27.7,0.10000000000000002,50.23333333333333,502.3333333333333,1.0
steckley,prairie dog,livestock ex,2020-07-06,2020-07-07,2020,26.625,11.575,0.10000000000000002,51.30333333333334,102.60666666666668,1.0
steckley,prairie dog,livestock ex,2021-07-01,2021-07-01,2021,27.0,11.275,0.10000000000000002,9.216666666666667,92.16666666666667,1.0
steckley,prairie dog,out,2018-07-04,2018-06-25,2018,30.6,10.425,0.10000000000000002,24.083333333333332,240.83333333333334,1.0
steckley,prairie dog,out,2019-06-24,2019-06-24,2019,40.025,17.5,0.10000000000000002,46.56666666666666,465.6666666666667,1.0
steckley,prairie dog,out,2020-07-06,2020-07-07,2020,25.075,9.05,0.10000000000000002,29.169999999999998,58.339999999999996,1.0
steckley,prairie dog,out,2021-06-30,2021-06-30,2021,18.775,4.325,0.10000000000000002,6.06,60.6,1.0
steckley,prairie dog,ungulate ex,2018-07-04,2018-06-25,2018,48.85,19.575,0.10000000000000002,43.31666666666666,433.1666666666667,1.0
steckley,prairie dog,ungulate ex,2019-06-27,2019-06-26,2019,62.025,37.575,0.10000000000000002,48.6,486.0,1.0
steckley,prairie dog,ungulate ex,2020-07-06,2020-07-07,2020,31.5,13.925,0.10000000000000002,26.363333333333333,52.72666666666667,1.0
steckley,prairie dog,ungulate ex,2021-06-30,2021-06-30,2021,27.85,10.775,0.10000000000000002,9.916666666666666,99.16666666666667,1.0
west fork,control,livestock ex,2018-07-02,2018-07-02,2018,37.05128205128205,13.0,0.10000000000000002,20.849999999999998,208.5,1.0
west fork,control,livestock ex,2019-07-09,2019-07-02,2019,38.23076923076923,18.205128205128204,0.10000000000000002,33.0,330.0,1.0
west fork,control,livestock ex,2021-07-13,2021-07-13,2021,21.894736842105264,8.421052631578947,0.10000000000000002,5.2299999999999995,52.29999999999999,1.0
west fork,control,livestock ex,2021-07-15,2021-07-13,2021,25.97142857142857,8.914285714285715,0.10000000000000002,5.2299999999999995,52.29999999999999,1.0
west fork,control,out,2018-07-02,2018-07-02,2018,36.55,9.075,0.10000000000000002,22.96666666666667,229.66666666666666,1.0
west fork,control,out,2019-07-09,2019-07-02,2019,34.41025641025641,11.717948717948717,0.10000000000000002,27.3,273.0,1.0
west fork,control,out,2021-07-13,2021-07-13,2021,19.307692307692307,6.230769230769231,0.10000000000000002,5.413333333333333,54.133333333333326,1.0
west fork,control,out,2021-07-15,2021-07-13,2021,26.425,6.4,0.10000000000000002,5.413333333333333,54.133333333333326,1.0
west fork,control,ungulate ex,2018-07-02,2018-07-02,2018,41.57142857142857,9.714285714285714,0.10000000000000002,17.450000000000003,174.5,1.0
west fork,control,ungulate ex,2019-07-09,2019-07-02,2019,40.46875,12.34375,0.10000000000000002,31.8,318.0,1.0
west fork,control,ungulate ex,2021-07-13,2021-07-13,2021,24.393939393939394,8.727272727272727,0.10000000000000002,13.85,138.5,1.0
west fork,control,ungulate ex,2021-07-15,2021-07-13,2021,27.914285714285715,8.857142857142858,0.10000000000000002,13.85,138.5,1.0
west fork,fire,livestock ex,2018-07-02,2018-07-02,2018,40.675,10.375,0.10000000000000002,26.18333333333333,261.8333333333333,1.0
west fork,fire,livestock ex,2019-07-02,2019-07-02,2019,37.1025641025641,10.333333333333334,0.10000000000000002,41.0,410.0,1.0
west fork,fire,livestock ex,2021-07-13,2021-07-13,2021,22.973684210526315,6.447368421052632,0.10000000000000002,21.66333333333333,216.6333333333333,1.0
west fork,fire,livestock ex,2021-07-15,2021-07-13,2021,25.28205128205128,8.58974358974359,0.10000000000000002,21.66333333333333,216.6333333333333,1.0
west fork,fire,out,2018-07-02,2018-07-02,2018,40.45454545454545,11.636363636363637,0.10000000000000002,23.099999999999998,231.0,1.0
west fork,fire,out,2019-07-02,2019-07-02,2019,40.205882352941174,17.41176470588235,0.10000000000000002,25.399999999999995,254.0,1.0
west fork,fire,out,2020-07-14,2020-07-13,2020,26.939393939393938,8.484848484848484,0.10000000000000002,26.94333333333333,53.88666666666666,1.0
west fork,fire,out,2021-07-13,2021-07-13,2021,22.41176470588235,6.235294117647059,0.10000000000000002,8.69,86.89999999999998,1.0
west fork,fire,ungulate ex,2018-07-02,2018-07-02,2018,39.75675675675676,14.594594594594595,0.10000000000000002,44.03333333333333,440.3333333333333,1.0
west fork,fire,ungulate ex,2019-07-02,2019-07-02,2019,43.54054054054054,20.54054054054054,0.10000000000000002,32.199999999999996,322.0,1.0
west fork,fire,ungulate ex,2020-07-14,2020-07-13,2020,32.31578947368421,12.289473684210526,0.10000000000000002,26.476666666666663,52.953333333333326,1.0
west fork,fire,ungulate ex,2021-07-13,2021-07-13,2021,24.97222222222222,9.583333333333334,0.10000000000000002,11.753333333333332,117.53333333333333,1.0
west fork,prairie dog,livestock ex,2018-07-02,2018-07-02,2018,27.65,9.175,0.10000000000000002,17.65,176.5,1.0
west fork,prairie dog,livestock ex,2019-07-09,2019-07-02,2019,29.55,18.475,0.10000000000000002,44.18333333333334,441.8333333333333,1.0
west fork,prairie dog,livestock ex,2020-07-14,2020-07-13,2020,23.775,6.725,0.10000000000000002,35.68,71.36,1.0
west fork,prairie dog,livestock ex,2021-07-13,2021-07-13,2021,19.55,5.525,0.10000000000000002,9.106666666666667,91.06666666666666,1.0
west fork,prairie dog,out,2018-07-02,2018-07-02,2018,21.025641025641026,5.666666666666667,0.10000000000000002,20.55,205.5,1.0
west fork,prairie dog,out,2019-07-09,2019-07-02,2019,32.475,17.225,0.10000000000000002,33.733333333333334,337.3333333333333,1.0
west fork,prairie dog,out,2020-07-13,2020-07-13,2020,24.17948717948718,6.512820512820513,0.10000000000000002,29.28,58.56,1.0
west fork,prairie dog,out,2021-07-12,2021-07-12,2021,18.725,5.65,0.10000000000000002,7.279999999999999,72.8,1.0
west fork,prairie dog,ungulate ex,2018-07-02,2018-07-02,2018,27.65,7.0,0.10000000000000002,31.333333333333332,313.3333333333333,1.0
west fork,prairie dog,ungulate ex,2019-07-09,2019-07-02,2019,38.975,20.45,0.10000000000000002,49.300000000000004,493.0,1.0
west fork,prairie dog,ungulate ex,2020-07-14,2020-07-13,2020,30.625,10.225,0.10000000000000002,46.85999999999999,93.71999999999998,1.0
west fork,prairie dog,ungulate ex,2021-07-13,2021-07-13,2021,26.35,8.3,0.10000000000000002,18.033333333333335,180.33333333333334,1.0
wildcat,control,livestock ex,2018-06-26,2018-06-26,2018,50.68421052631579,8.236842105263158,0.10000000000000002,10.066666666666666,100.66666666666667,1.0
wildcat,control,livestock ex,2019-07-03,2019-07-03,2019,23.375,8.925,0.10000000000000002,33.03333333333333,330.3333333333333,1.0
wildcat,control,livestock ex,2020-07-09,2020-07-09,2020,24.125,7.275,0.10000000000000002,13.026666666666666,26.05333333333333,1.0
wildcat,control,livestock ex,2021-07-07,2021-07-12,2021,17.166666666666668,6.166666666666667,0.10000000000000002,4.2700000000000005,42.699999999999996,1.0
wildcat,control,out,2018-06-26,2018-06-26,2018,40.45,5.725,0.10000000000000002,12.533333333333333,125.33333333333333,1.0
wildcat,control,out,2019-07-08,2019-07-03,2019,15.9,5.6,0.10000000000000002,12.883333333333331,128.83333333333331,1.0
wildcat,control,out,2020-07-08,2020-07-09,2020,13.2,4.15,0.10000000000000002,9.746666666666666,19.493333333333332,1.0
wildcat,control,out,2021-07-07,2021-07-12,2021,7.925,2.675,0.10000000000000002,3.643333333333333,36.43333333333334,1.0
wildcat,control,ungulate ex,2018-06-26,2018-06-26,2018,49.6,11.0,0.10000000000000002,29.133333333333336,291.3333333333333,1.0
wildcat,control,ungulate ex,2019-07-03,2019-07-03,2019,32.69230769230769,11.974358974358974,0.10000000000000002,22.849999999999998,228.5,1.0
wildcat,control,ungulate ex,2020-07-09,2020-07-09,2020,27.897435897435898,9.794871794871796,0.10000000000000002,14.663333333333334,29.326666666666668,1.0
wildcat,control,ungulate ex,2021-07-07,2021-07-12,2021,19.72972972972973,7.756756756756757,0.10000000000000002,6.550000000000001,65.49999999999999,1.0
wildcat,fire,livestock ex,2018-06-27,2018-06-27,2018,49.15,14.075,0.10000000000000002,29.65,296.5,1.0
wildcat,fire,livestock ex,2019-07-08,2019-07-03,2019,33.55,14.0,0.10000000000000002,27.266666666666662,272.6666666666667,1.0
wildcat,fire,livestock ex,2020-07-08,2020-07-09,2020,27.65,12.85,0.10000000000000002,21.583333333333332,43.166666666666664,1.0
wildcat,fire,livestock ex,2021-07-07,2021-07-07,2021,20.725,7.85,0.10000000000000002,5.28,52.79999999999999,1.0
wildcat,fire,out,2015-07-13,2015-07-21,2015,31.925,10.1,0.5,117.42333333333333,234.84666666666666,1.0
wildcat,fire,out,2018-06-27,2018-06-27,2018,68.575,24.825,0.10000000000000002,29.28333333333333,292.8333333333333,1.0
wildcat,fire,out,2019-07-08,2019-07-03,2019,39.95,16.75,0.10000000000000002,33.18333333333334,331.8333333333333,1.0
wildcat,fire,out,2020-07-08,2020-07-09,2020,17.475,5.9,0.10000000000000002,11.086666666666666,22.173333333333332,1.0
wildcat,fire,out,2021-07-07,2021-07-07,2021,18.625,7.075,0.10000000000000002,9.67,96.69999999999999,1.0
wildcat,fire,ungulate ex,2015-07-14,2015-07-21,2015,39.125,17.85,0.5,150.09333333333333,300.18666666666667,1.0
wildcat,fire,ungulate ex,2018-06-27,2018-06-27,2018,72.025,31.2,0.10000000000000002,56.466666666666676,564.6666666666666,1.0
wildcat,fire,ungulate ex,2019-07-08,2019-07-03,2019,43.85,23.3,0.10000000000000002,42.233333333333334,422.3333333333333,1.0
wildcat,fire,ungulate ex,2020-07-08,2020-07-09,2020,31.55,16.0,0.10000000000000002,33.916666666666664,67.83333333333333,1.0
wildcat,fire,ungulate ex,2021-07-07,2021-07-07,2021,23.153846153846153,9.0,0.1,3.85,38.5,1.0
wildcat,prairie dog,livestock ex,2018-06-26,2018-06-26,2018,34.7,9.25,0.10000000000000002,48.650000000000006,486.5,1.0
wildcat,prairie dog,livestock ex,2019-07-03,2019-07-03,2019,37.282051282051285,8.820512820512821,0.10000000000000002,24.316666666666666,243.16666666666666,1.0
wildcat,prairie dog,livestock ex,2020-07-13,2020-07-13,2020,25.65,6.325,0.10000000000000002,31.266666666666662,62.533333333333324,1.0
wildcat,prairie dog,livestock ex,2021-07-12,2021-07-12,2021,11.64102564102564,3.5641025641025643,0.10000000000000002,8.323333333333332,83.23333333333333,1.0
wildcat,prairie dog,out,2018-06-26,2018-06-26,2018,63.0,19.725,0.10000000000000002,27.0,270.0,1.0
wildcat,prairie dog,out,2019-07-03,2019-07-03,2019,53.525,25.175,0.10000000000000002,42.13333333333333,421.3333333333333,1.0
wildcat,prairie dog,out,2020-07-13,2020-07-13,2020,21.65,5.8,0.10000000000000002,17.146666666666665,34.29333333333333,1.0
wildcat,prairie dog,out,2021-07-12,2021-07-12,2021,19.2,4.575,0.10000000000000002,8.47,84.7,1.0
wildcat,prairie dog,ungulate ex,2018-06-26,2018-06-26,2018,74.1,28.125,0.10000000000000002,36.93333333333333,369.3333333333333,1.0
wildcat,prairie dog,ungulate ex,2019-07-03,2019-07-03,2019,53.675,29.225,0.10000000000000002,47.300000000000004,473.0,1.0
wildcat,prairie dog,ungulate ex,2020-07-13,2020-07-13,2020,35.15,10.05,0.10000000000000002,25.78333333333333,51.56666666666666,1.0
wildcat,prairie dog,ungulate ex,2021-07-12,2021-07-12,2021,18.75,4.875,0.10000000000000002,11.386666666666665,113.86666666666665,1.0
